seed,CL_rmse,CD_rmse,q_rmse
0,0.008992968,0.054793097,6.335313e+06
1,0.009062615,0.053058576,5.287368e+06
2,0.008967666,0.03911102,2.7618478e+06
3,0.010188698,0.06588645,2.9962005e+06
4,0.009453745,0.09263839,1.6844696e+06
5,0.008311903,0.05275102,2.7949608e+06
6,0.010089039,0.030926637,5.4442465e+06
7,0.009682628,0.061591253,4.328476e+06
8,0.009687237,0.05124003,1.0288976e+06
9,0.011826236,0.16080017,4.5930515e+06
10,0.011542761,0.083967075,5.496522e+06
11,0.007692925,0.059692755,5.7166285e+06
12,0.009055472,0.07685204,1.6424754e+06
13,0.010323861,0.042595062,3.4726505e+06
14,0.00887012,0.0806838,1.943533e+06
